Topic,Words,Frequency,Timestamp,time,date,year
0,"participacio, entitats, comerc, ciutadania, barri",1549,2018-04-02 03:46:58.142000000,2018-04-02T03:46:58Z,2018-04-02,2018
1,"joves, escoles, educacio, escola, formacio",919,2018-04-02 03:46:58.142000000,2018-04-02T03:46:58Z,2018-04-02,2018
2,"esport, esportives, espai, esportius, esportiva",567,2018-04-02 03:46:58.142000000,2018-04-02T03:46:58Z,2018-04-02,2018
3,"salut, persones, atencio, serveis, mental",544,2018-04-02 03:46:58.142000000,2018-04-02T03:46:58Z,2018-04-02,2018
4,"bici, bicicletes, carril, bicicleta, motos",484,2018-04-02 03:46:58.142000000,2018-04-02T03:46:58Z,2018-04-02,2018
5,"dones, genere, igualtat, sexual, homes",402,2018-04-02 03:46:58.142000000,2018-04-02T03:46:58Z,2018-04-02,2018
6,"musica, cultural, culturals, cultura, teatre",375,2018-04-02 03:46:58.142000000,2018-04-02T03:46:58Z,2018-04-02,2018
7,"barcelona, fundacio, lsc, barceloneta, associacio",59,2018-04-02 03:46:58.142000000,2018-04-02T03:46:58Z,2018-04-02,2018
8,"habitatge, habitatges, lloguer, pisos, social",381,2018-04-02 03:46:58.142000000,2018-04-02T03:46:58Z,2018-04-02,2018
9,"bus, autobusos, busos, transport, autobus",446,2018-04-02 03:46:58.142000000,2018-04-02T03:46:58Z,2018-04-02,2018
10,"gossos, animals, gos, perros, propietaris",268,2018-04-02 03:46:58.142000000,2018-04-02T03:46:58Z,2018-04-02,2018
11,"guardia, vigilancia, urbana, soroll, policia",263,2018-04-02 03:46:58.142000000,2018-04-02T03:46:58Z,2018-04-02,2018
12,"participativa, intercultural, generada, sessio, diversitat",138,2018-04-02 03:46:58.142000000,2018-04-02T03:46:58Z,2018-04-02,2018
13,"maquinista, pg, projecte, caracas, poligono",9,2018-04-02 03:46:58.142000000,2018-04-02T03:46:58Z,2018-04-02,2018
14,"parc, jardins, arbres, horts, parcs",214,2018-04-02 03:46:58.142000000,2018-04-02T03:46:58Z,2018-04-02,2018
15,"turisme, turistics, turistes, turistica, turistic",300,2018-04-02 03:46:58.142000000,2018-04-02T03:46:58Z,2018-04-02,2018
16,"escola, institut, collegi, instituts, sant",19,2018-04-02 03:46:58.142000000,2018-04-02T03:46:58Z,2018-04-02,2018
17,"energetica, eficiencia, energetic, energia, consum",130,2018-04-02 03:46:58.142000000,2018-04-02T03:46:58Z,2018-04-02,2018
18,"contenidors, reciclatge, residus, recollida, neteja",107,2018-04-02 03:46:58.142000000,2018-04-02T03:46:58Z,2018-04-02,2018
19,"carrer, aparcament, vehicles, vianants, cotxes",189,2018-04-02 03:46:58.142000000,2018-04-02T03:46:58Z,2018-04-02,2018
0,"tic, comunicacio, xarxa, xarxes, treball",18,2018-12-22 12:46:08.444444444,2018-12-22T12:46:08Z,2018-12-22,2018
1,"educatius, joves, educacio, adolescents, formacio",185,2018-12-22 12:46:08.444444444,2018-12-22T12:46:08Z,2018-12-22,2018
2,"jocs, infants, futbol, adolescents, fisica",28,2018-12-22 12:46:08.444444444,2018-12-22T12:46:08Z,2018-12-22,2018
3,"salut, cura, tecniques, psicologics, autocura",5,2018-12-22 12:46:08.444444444,2018-12-22T12:46:08Z,2018-12-22,2018
