source,target,weight
barri,BARRI MES PROJECTE ESPAI,0.0149
mes,BARRI MES PROJECTE ESPAI,0.0148
projecte,BARRI MES PROJECTE ESPAI,0.0142
espai,BARRI MES PROJECTE ESPAI,0.0138
carrer,BARRI MES PROJECTE ESPAI,0.0121
persones,BARRI MES PROJECTE ESPAI,0.0116
descripcio,BARRI MES PROJECTE ESPAI,0.0114
espais,BARRI MES PROJECTE ESPAI,0.0099
ciutat,BARRI MES PROJECTE ESPAI,0.0094
zona,BARRI MES PROJECTE ESPAI,0.0087
barri,BARRI PARTICIPACIO ENTITATS COMERC,0.0207
participacio,BARRI PARTICIPACIO ENTITATS COMERC,0.0198
entitats,BARRI PARTICIPACIO ENTITATS COMERC,0.0183
comerc,BARRI PARTICIPACIO ENTITATS COMERC,0.0166
ciutadania,BARRI PARTICIPACIO ENTITATS COMERC,0.0154
ajuntament,BARRI PARTICIPACIO ENTITATS COMERC,0.0145
seguiment,BARRI PARTICIPACIO ENTITATS COMERC,0.0145
districte,BARRI PARTICIPACIO ENTITATS COMERC,0.0139
social,BARRI PARTICIPACIO ENTITATS COMERC,0.0135
mes,BARRI PARTICIPACIO ENTITATS COMERC,0.0134
joves,JOVES EDUCACIO ESCOLA ESCOLES,0.031
educacio,JOVES EDUCACIO ESCOLA ESCOLES,0.0256
escola,JOVES EDUCACIO ESCOLA ESCOLES,0.0252
escoles,JOVES EDUCACIO ESCOLA ESCOLES,0.0251
educatius,JOVES EDUCACIO ESCOLA ESCOLES,0.02
infants,JOVES EDUCACIO ESCOLA ESCOLES,0.0193
formacio,JOVES EDUCACIO ESCOLA ESCOLES,0.0192
centres,JOVES EDUCACIO ESCOLA ESCOLES,0.0191
families,JOVES EDUCACIO ESCOLA ESCOLES,0.0186
escolar,JOVES EDUCACIO ESCOLA ESCOLES,0.0169
esport,ESPORT ESPAI PROJECTE JOC,0.0255
espai,ESPORT ESPAI PROJECTE JOC,0.0222
projecte,ESPORT ESPAI PROJECTE JOC,0.0211
joc,ESPORT ESPAI PROJECTE JOC,0.0202
barri,ESPORT ESPAI PROJECTE JOC,0.0189
esportiva,ESPORT ESPAI PROJECTE JOC,0.0183
pista,ESPORT ESPAI PROJECTE JOC,0.0181
esportives,ESPORT ESPAI PROJECTE JOC,0.0171
infants,ESPORT ESPAI PROJECTE JOC,0.0171
parc,ESPORT ESPAI PROJECTE JOC,0.0167
salut,SALUT PERSONES ATENCIO MENTAL,0.0543
persones,SALUT PERSONES ATENCIO MENTAL,0.0464
atencio,SALUT PERSONES ATENCIO MENTAL,0.0354
mental,SALUT PERSONES ATENCIO MENTAL,0.0304
serveis,SALUT PERSONES ATENCIO MENTAL,0.0295
gent,SALUT PERSONES ATENCIO MENTAL,0.0254
gran,SALUT PERSONES ATENCIO MENTAL,0.0225
grans,SALUT PERSONES ATENCIO MENTAL,0.0179
recursos,SALUT PERSONES ATENCIO MENTAL,0.0171
discapacitat,SALUT PERSONES ATENCIO MENTAL,0.0162
bici,BICI BICICLETES CARRIL BICICLETA,0.0827
bicicletes,BICI BICICLETES CARRIL BICICLETA,0.0546
carril,BICI BICICLETES CARRIL BICICLETA,0.0517
bicicleta,BICI BICICLETES CARRIL BICICLETA,0.0437
carrils,BICI BICICLETES CARRIL BICICLETA,0.0404
motos,BICI BICICLETES CARRIL BICICLETA,0.038
vianants,BICI BICICLETES CARRIL BICICLETA,0.0292
bicis,BICI BICICLETES CARRIL BICICLETA,0.0265
aparcament,BICI BICICLETES CARRIL BICICLETA,0.0212
aparcaments,BICI BICICLETES CARRIL BICICLETA,0.02
dones,DONES SEXUAL GENERE IGUALTAT,0.0726
sexual,DONES SEXUAL GENERE IGUALTAT,0.0371
genere,DONES SEXUAL GENERE IGUALTAT,0.0323
igualtat,DONES SEXUAL GENERE IGUALTAT,0.0247
violencia,DONES SEXUAL GENERE IGUALTAT,0.0217
homes,DONES SEXUAL GENERE IGUALTAT,0.0184
persones,DONES SEXUAL GENERE IGUALTAT,0.0166
diversitat,DONES SEXUAL GENERE IGUALTAT,0.0159
salut,DONES SEXUAL GENERE IGUALTAT,0.0159
sexuals,DONES SEXUAL GENERE IGUALTAT,0.0151
cultural,CULTURAL CULTURALS MUSICA CULTURA,0.0394
culturals,CULTURAL CULTURALS MUSICA CULTURA,0.039
musica,CULTURAL CULTURALS MUSICA CULTURA,0.037
cultura,CULTURAL CULTURALS MUSICA CULTURA,0.0351
teatre,CULTURAL CULTURALS MUSICA CULTURA,0.0301
art,CULTURAL CULTURALS MUSICA CULTURA,0.0253
activitats,CULTURAL CULTURALS MUSICA CULTURA,0.0223
artistes,CULTURAL CULTURALS MUSICA CULTURA,0.0193
espais,CULTURAL CULTURALS MUSICA CULTURA,0.0157
arts,CULTURAL CULTURALS MUSICA CULTURA,0.0152
fundacio,FUNDACIO ASSOCIACIO BARCELONA CATALUNYA,0.1298
associacio,FUNDACIO ASSOCIACIO BARCELONA CATALUNYA,0.0982
barcelona,FUNDACIO ASSOCIACIO BARCELONA CATALUNYA,0.0941
catalunya,FUNDACIO ASSOCIACIO BARCELONA CATALUNYA,0.0861
sl,FUNDACIO ASSOCIACIO BARCELONA CATALUNYA,0.06
sccl,FUNDACIO ASSOCIACIO BARCELONA CATALUNYA,0.0541
ebm,FUNDACIO ASSOCIACIO BARCELONA CATALUNYA,0.0503
catalana,FUNDACIO ASSOCIACIO BARCELONA CATALUNYA,0.0462
gremi,FUNDACIO ASSOCIACIO BARCELONA CATALUNYA,0.0459
federacio,FUNDACIO ASSOCIACIO BARCELONA CATALUNYA,0.0438
habitatge,HABITATGE HABITATGES LLOGUER PISOS,0.1107
habitatges,HABITATGE HABITATGES LLOGUER PISOS,0.0581
lloguer,HABITATGE HABITATGES LLOGUER PISOS,0.0536
pisos,HABITATGE HABITATGES LLOGUER PISOS,0.0508
persones,HABITATGE HABITATGES LLOGUER PISOS,0.0243
social,HABITATGE HABITATGES LLOGUER PISOS,0.0225
buits,HABITATGE HABITATGES LLOGUER PISOS,0.0189
edificis,HABITATGE HABITATGES LLOGUER PISOS,0.0151
pis,HABITATGE HABITATGES LLOGUER PISOS,0.0147
rehabilitacio,HABITATGE HABITATGES LLOGUER PISOS,0.0144
bus,BUS AUTOBUSOS TRANSPORT BUSOS,0.0926
autobusos,BUS AUTOBUSOS TRANSPORT BUSOS,0.0535
transport,BUS AUTOBUSOS TRANSPORT BUSOS,0.0522
busos,BUS AUTOBUSOS TRANSPORT BUSOS,0.0467
autobus,BUS AUTOBUSOS TRANSPORT BUSOS,0.0445
frequencia,BUS AUTOBUSOS TRANSPORT BUSOS,0.0392
parades,BUS AUTOBUSOS TRANSPORT BUSOS,0.0362
linies,BUS AUTOBUSOS TRANSPORT BUSOS,0.0334
public,BUS AUTOBUSOS TRANSPORT BUSOS,0.0326
metro,BUS AUTOBUSOS TRANSPORT BUSOS,0.0274
gossos,GOSSOS ANIMALS PERROS GOS,0.1221
animals,GOSSOS ANIMALS PERROS GOS,0.0637
perros,GOSSOS ANIMALS PERROS GOS,0.0285
gos,GOSSOS ANIMALS PERROS GOS,0.0256
zona,GOSSOS ANIMALS PERROS GOS,0.0227
propietaris,GOSSOS ANIMALS PERROS GOS,0.0217
excrements,GOSSOS ANIMALS PERROS GOS,0.0216
espai,GOSSOS ANIMALS PERROS GOS,0.0201
gats,GOSSOS ANIMALS PERROS GOS,0.0201
pipican,GOSSOS ANIMALS PERROS GOS,0.0191
guardia,GUARDIA SOROLL VIGILANCIA URBANA,0.0374
soroll,GUARDIA SOROLL VIGILANCIA URBANA,0.0328
vigilancia,GUARDIA SOROLL VIGILANCIA URBANA,0.0299
urbana,GUARDIA SOROLL VIGILANCIA URBANA,0.0286
policia,GUARDIA SOROLL VIGILANCIA URBANA,0.0279
seguretat,GUARDIA SOROLL VIGILANCIA URBANA,0.0274
nit,GUARDIA SOROLL VIGILANCIA URBANA,0.0242
sancions,GUARDIA SOROLL VIGILANCIA URBANA,0.0231
nocturn,GUARDIA SOROLL VIGILANCIA URBANA,0.0224
policial,GUARDIA SOROLL VIGILANCIA URBANA,0.0214
generada,GENERADA PARTICIPATIVA SESSIO PROPOSTA,0.1062
participativa,GENERADA PARTICIPATIVA SESSIO PROPOSTA,0.1049
sessio,GENERADA PARTICIPATIVA SESSIO PROPOSTA,0.0916
proposta,GENERADA PARTICIPATIVA SESSIO PROPOSTA,0.0649
intercultural,GENERADA PARTICIPATIVA SESSIO PROPOSTA,0.0462
diversitat,GENERADA PARTICIPATIVA SESSIO PROPOSTA,0.0366
persones,GENERADA PARTICIPATIVA SESSIO PROPOSTA,0.0323
interculturalitat,GENERADA PARTICIPATIVA SESSIO PROPOSTA,0.031
origen,GENERADA PARTICIPATIVA SESSIO PROPOSTA,0.0292
origens,GENERADA PARTICIPATIVA SESSIO PROPOSTA,0.025
projecte,PROJECTE DESCRIPCIO CARRER AMPLIADA,0.0406
descripcio,PROJECTE DESCRIPCIO CARRER AMPLIADA,0.0341
carrer,PROJECTE DESCRIPCIO CARRER AMPLIADA,0.0292
ampliada,PROJECTE DESCRIPCIO CARRER AMPLIADA,0.0256
implicar,PROJECTE DESCRIPCIO CARRER AMPLIADA,0.0255
incorpora,PROJECTE DESCRIPCIO CARRER AMPLIADA,0.0252
barri,PROJECTE DESCRIPCIO CARRER AMPLIADA,0.0244
perspectiva,PROJECTE DESCRIPCIO CARRER AMPLIADA,0.0242
aproximat,PROJECTE DESCRIPCIO CARRER AMPLIADA,0.0229
cost,PROJECTE DESCRIPCIO CARRER AMPLIADA,0.0228
jardins,JARDINS PARC ARBRES HORTS,0.0476
parc,JARDINS PARC ARBRES HORTS,0.0384
arbres,JARDINS PARC ARBRES HORTS,0.0318
horts,JARDINS PARC ARBRES HORTS,0.0317
parcs,JARDINS PARC ARBRES HORTS,0.0289
vegetacio,JARDINS PARC ARBRES HORTS,0.0277
verd,JARDINS PARC ARBRES HORTS,0.0234
espais,JARDINS PARC ARBRES HORTS,0.0228
urbans,JARDINS PARC ARBRES HORTS,0.0208
mes,JARDINS PARC ARBRES HORTS,0.0203
turisme,TURISME TURISTICS TURISTES TURISTICA,0.1162
turistics,TURISME TURISTICS TURISTES TURISTICA,0.0749
turistes,TURISME TURISTICS TURISTES TURISTICA,0.058
turistica,TURISME TURISTICS TURISTES TURISTICA,0.0521
turistic,TURISME TURISTICS TURISTES TURISTICA,0.0429
hotels,TURISME TURISTICS TURISTES TURISTICA,0.0334
pisos,TURISME TURISTICS TURISTES TURISTICA,0.0323
ciutat,TURISME TURISTICS TURISTES TURISTICA,0.0284
turistiques,TURISME TURISTICS TURISTES TURISTICA,0.024
taxa,TURISME TURISTICS TURISTES TURISTICA,0.0182
escola,ESCOLA INSTITUT COLLEGI EE,0.3882
institut,ESCOLA INSTITUT COLLEGI EE,0.1729
collegi,ESCOLA INSTITUT COLLEGI EE,0.1325
ee,ESCOLA INSTITUT COLLEGI EE,0.0568
sant,ESCOLA INSTITUT COLLEGI EE,0.0559
mare,ESCOLA INSTITUT COLLEGI EE,0.0332
jesuites,ESCOLA INSTITUT COLLEGI EE,0.0316
josep,ESCOLA INSTITUT COLLEGI EE,0.0312
jesus,ESCOLA INSTITUT COLLEGI EE,0.0297
maria,ESCOLA INSTITUT COLLEGI EE,0.0287
energetica,ENERGETICA ENERGETIC ENERGIA EFICIENCIA,0.0838
energetic,ENERGETICA ENERGETIC ENERGIA EFICIENCIA,0.05
energia,ENERGETICA ENERGETIC ENERGIA EFICIENCIA,0.0494
eficiencia,ENERGETICA ENERGETIC ENERGIA EFICIENCIA,0.0429
consum,ENERGETICA ENERGETIC ENERGIA EFICIENCIA,0.0315
energetiques,ENERGETICA ENERGETIC ENERGIA EFICIENCIA,0.0284
renovables,ENERGETICA ENERGETIC ENERGIA EFICIENCIA,0.0215
estalvi,ENERGETICA ENERGETIC ENERGIA EFICIENCIA,0.021
edificis,ENERGETICA ENERGETIC ENERGIA EFICIENCIA,0.0206
pobresa,ENERGETICA ENERGETIC ENERGIA EFICIENCIA,0.0193
